OP section;Wavelength (nm);"FoV_Y ("")";"FoV_X ("")";FoV Comment;"required d ("")";""" Comment";SIS Instrument;SIS COMMENT;N;N Comment;R;R Comment;BP (nm);BP Comment;SNR;SNR Comment;Cadence (s);Cadence Comment;tint (s);tint (s) Comment;T continuum;T continuum comment;T core;T core comment;REQ?;Duration of observation (h);Polarimetry
1.1.1;388;40.0;40;;-1.0;;FBI;CN bandhead and Ca ii K to allow IFU to observe Ca ii H;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;True;1;False
1.1.1;396;5.0;5;;0.1;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;3000;;30;;3;;0.026;;0.8155;;False;1;True
1.1.1;396;40.0;40;;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;True;1;False
1.1.1;430;40.0;40;;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;False;1;False
1.1.1;517;40.0;40;Goal 60x60;-1.0;;TIS;;10;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;;30;;3;Not mentioned, estimated from N and cadence;0.0047;;0.0666;;True;1;True
1.1.1;525;40.0;40;Goal 60x60;-1.0;;TIS;;10;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;;30;;3;Not mentioned, estimated from N and cadence;0.0043;;0.0222;;True;1;True
1.1.1;617;40.0;40;Goal 60x60;-1.0;;TIS;;10;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;;30;;3;Not mentioned, estimated from N and cadence;0.0036;;0.0139;;True;1;True
1.1.1;630;5.0;5;;0.1;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;3000;;30;;3;;0.0077;;0.028;;True;1;True
1.1.1;656;40.0;40;;-1.0;;TIS;;10;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;;30;;3;Not mentioned, estimated from N and cadence;0.0037;;0.0211;;False;1;True
1.1.1;854;5.0;5;;0.1;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;3000;;30;;3;;0.0072;;0.0352;;True;1;True
1.1.1;1082;5.0;5;;0.1;;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;3000;;30;;3;;0.007;;0.022;;False;1;True
1.1.1;1083;5.0;5;;0.1;;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;3000;;30;;3;;0.007;;0.022;;False;1;True
1.1.1;1565;5.0;5;;0.1;;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;3000;;30;;3;;0.008;;0.011;;True;1;True
1.2.1;388;20.0;20;;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;True;1;False
1.2.1;396;20.0;20;;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;True;1;False
1.2.1;396;7.0;7;Goal 15x15, with tiles;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;15;;3;;0.0321;;1.0068;;False;1 (repeated);True
