Wavelength (nm);"required d ("")";SIS Instrument;R;BP (nm);SNR;tint (s);Polarimetry;T continuum;T continuum comment
388;-1.0;FBI;;;100.0;;False;;N/A
396;0.1;IFS-M;200000.0;;3000.0;3.0;True;;N/A
396;-1.0;FBI;;;100.0;;False;;N/A
430;-1.0;FBI;;;100.0;;False;;N/A
517;-1.0;TIS;50000.0;;500.0;3.0;True;;N/A
525;-1.0;TIS;50000.0;;500.0;3.0;True;;N/A
617;-1.0;TIS;50000.0;;500.0;3.0;True;;N/A
630;0.1;IFS-M;200000.0;;3000.0;3.0;True;;N/A
656;-1.0;TIS;50000.0;;500.0;3.0;True;;N/A
854;0.1;IFS-M;200000.0;;3000.0;3.0;True;;N/A
1082;0.1;IFS-S;200000.0;;3000.0;3.0;True;;N/A
1083;0.1;IFS-S;200000.0;;3000.0;3.0;True;;N/A
1565;0.1;IFS-S;200000.0;;3000.0;3.0;True;;N/A
388;-1.0;FBI;;;100.0;;False;;N/A
396;-1.0;FBI;;;100.0;;False;;N/A
396;0.06;IFS-M;200000.0;;2000.0;3.0;True;;N/A
430;-1.0;FBI;;;100.0;;False;;N/A
517;0.06;IFS-M;200000.0;;2000.0;3.0;True;;N/A
525;0.06;IFS-M;200000.0;;2000.0;3.0;True;;N/A
630;0.06;IFS-M;200000.0;;2000.0;3.0;True;;N/A
656;-1.0;FBI;;;100.0;1.0;False;;N/A
854;0.06;IFS-M;200000.0;;2000.0;3.0;True;;N/A
1082;0.06;IFS-S;200000.0;;2000.0;3.0;True;;N/A
1083;0.06;IFS-S;200000.0;;2000.0;3.0;True;;N/A
1565;-1.0;IFS-S;200000.0;;2000.0;3.0;True;;N/A
388;-1.0;FBI;;;100.0;;False;;N/A
396;0.1;IFS-M;200000.0;;1000.0;3.0;True;;N/A
396;-1.0;FBI;;;100.0;;False;;N/A
430;-1.0;FBI;;;100.0;;False;;N/A
517;-1.0;FBI;;;100.0;;False;;N/A
630;0.1;IFS-M;200000.0;;1000.0;3.0;True;;N/A
854;0.1;IFS-M;200000.0;;1000.0;3.0;True;;N/A
1082;0.1;IFS-S;200000.0;;1000.0;3.0;True;;N/A
1083;0.1;IFS-S;200000.0;;1000.0;3.0;True;;N/A
1565;0.1;IFS-S;200000.0;;1000.0;3.0;True;;N/A
388;-1.0;FBI;;;100.0;;False;;N/A
396;-1.0;FBI;;;100.0;;False;;N/A
430;-1.0;FBI;;;100.0;;False;;N/A
517;-1.0;TIS;50000.0;;500.0;0.5;True;;N/A
525;-1.0;TIS;50000.0;;500.0;1.0;True;;N/A
617;-1.0;TIS;50000.0;;500.0;1.0;True;;N/A
656;-1.0;TIS;50000.0;;500.0;0.5;True;;N/A
388;-1.0;FBI;;;100.0;;False;;N/A
396;-1.0;FBI;;;100.0;;False;;N/A
430;-1.0;FBI;;;100.0;;False;;N/A
517;-1.0;TIS;50000.0;;2000.0;1.0;True;;N/A
630;-1.0;TIS;50000.0;;2000.0;1.0;True;;N/A
656;-1.0;TIS;50000.0;;2000.0;1.0;True;;N/A
854;-1.0;TIS;50000.0;;2000.0;1.0;True;;N/A
1565;-1.0;IFS-S;200000.0;;2000.0;1.0;True;;N/A
388;-1.0;FBI;;;100.0;;False;;N/A
396;0.06;IFS-M;200000.0;;2000.0;10.0;True;;N/A
430;-1.0;FBI;;;100.0;;False;;N/A
517;0.06;IFS-M;200000.0;;2000.0;10.0;True;;N/A
525;0.06;IFS-M;200000.0;;2000.0;10.0;True;;N/A
630;0.06;IFS-M;200000.0;;2000.0;10.0;True;;N/A
656;0.06;IFS-M;200000.0;;2000.0;10.0;True;;N/A
854;0.06;IFS-M;200000.0;;2000.0;10.0;True;;N/A
1082;0.06;IFS-S;200000.0;;2000.0;10.0;True;;N/A
1083;0.06;IFS-S;200000.0;;2000.0;10.0;True;;N/A
1565;-1.0;IFS-S;200000.0;;2000.0;10.0;True;;N/A
396;0.06;IFS-M;200000.0;;2000.0;10.0;True;;N/A
492;0.06;IFS-M;200000.0;;2000.0;10.0;True;;N/A
517;0.06;IFS-M;200000.0;;2000.0;10.0;True;;N/A
630;0.06;IFS-M;200000.0;;2000.0;10.0;True;;N/A
656;0.06;IFS-M;200000.0;;2000.0;10.0;True;;N/A
854;0.06;IFS-M;200000.0;;2000.0;10.0;True;;N/A
1565;-1.0;IFS-S;200000.0;;2000.0;10.0;True;;N/A
461;0.1;IFS-M;200000.0;;10000.0;25.0;True;;N/A
517;0.1;IFS-M;200000.0;;10000.0;25.0;True;;N/A
525;0.1;IFS-M;200000.0;;10000.0;25.0;True;;N/A
630;0.1;IFS-M;200000.0;;10000.0;25.0;True;;N/A
854;0.1;IFS-M;200000.0;;10000.0;25.0;True;;N/A
1565;0.1;IFS-S;200000.0;;10000.0;25.0;True;;N/A
388;-1.0;FBI;;;100.0;;False;;N/A
396;-1.0;FBI;;;100.0;;False;;N/A
396;0.1;TIS;50000.0;;2000.0;3.0;True;;N/A
517;0.1;TIS;50000.0;;2000.0;3.0;True;;N/A
525;0.1;TIS;50000.0;;2000.0;3.0;True;;N/A
630;0.1;TIS;50000.0;;2000.0;3.0;True;;N/A
656;0.1;TIS;50000.0;;2000.0;3.0;True;;N/A
854;0.1;TIS;50000.0;;2000.0;3.0;True;;N/A
1083;0.1;IFS-S;200000.0;;2000.0;3.0;True;;N/A
1565;0.1;IFS-S;200000.0;;2000.0;3.0;True;;N/A
388;-1.0;FBI;;;100.0;;False;;N/A
396;-1.0;FBI;;;100.0;;False;;N/A
396;0.06;IFS-M;200000.0;;2000.0;6.0;True;;N/A
430;-1.0;FBI;;;100.0;;False;;N/A
517;0.06;IFS-M;200000.0;;2000.0;6.0;True;;N/A
525;0.06;IFS-M;200000.0;;2000.0;6.0;True;;N/A
630;0.06;IFS-M;200000.0;;2000.0;6.0;True;;N/A
656;-1.0;FBI;;;100.0;;False;;N/A
854;0.06;IFS-M;200000.0;;2000.0;6.0;True;;N/A
1082;0.06;IFS-S;200000.0;;2000.0;6.0;True;;N/A
1083;0.06;IFS-S;200000.0;;2000.0;6.0;True;;N/A
1565;-1.0;IFS-S;200000.0;;2000.0;6.0;True;;N/A
388;-1.0;FBI;;;100.0;;False;;N/A
396;-1.0;FBI;;;100.0;;False;;N/A
396;0.05;TIS;50000.0;;1000.0;2.0;True;;N/A
430;-1.0;FBI;;;100.0;;False;;N/A
517;0.05;TIS;50000.0;;1000.0;2.0;True;;N/A
525;0.05;TIS;50000.0;;1000.0;2.0;True;;N/A
630;0.05;TIS;50000.0;;1000.0;2.0;True;;N/A
656;0.05;TIS;50000.0;;1000.0;2.0;True;;N/A
